Team,Record,2ndO wins (diff),S&P+ (pctl),S&P+ (margin),Overall rank,Off S&P+,Off rank,Def S&P+,Def rank
Maryland,3-9,3.8 (0.8),52.5%,1.7,65,28.3,68,25.3,113
Boston College,3-9,5.9 (2.9),52.2%,1.6,66,15.0,125,12.4,100
Washington State,9-4,7.6 (-1.4),51.6%,1.4,67,32.1,44,29.7,99
Virginia,4-8,4.0 (0.0),51.0%,1.3,68,30.9,52,29.9,57
Texas,5-7,5.2 (0.2),50.6%,1.1,69,28.6,64,28.2,46
Iowa State,3-9,4.8 (1.8),49.3%,0.7,70,29.6,59,28.3,79
Ohio,8-5,7.6 (-0.4),47.5%,0.2,71,27.6,74,27.0,76
Marshall,10-3,9.0 (-1.0),47.2%,0.1,72,24.1,100,25.1,25
East Carolina,5-7,5.9 (0.9),46.3%,-0.1,73,28.3,67,29.2,41
Syracuse,4-8,4.6 (0.6),46.2%,-0.2,74,27.9,70,29.0,32
Duke,8-5,7.0 (-1.0),46.1%,-0.2,75,25.2,89,26.9,2
Northern Illinois,8-6,8.1 (0.1),45.8%,-0.3,76,26.4,83,26.6,68
Arizona,7-6,6.9 (-0.1),44.8%,-0.6,77,35.1,28,36.7,26
Central Michigan,7-6,7.2 (0.2),42.3%,-1.3,78,26.4,82,27.3,77
Vanderbilt,4-8,4.2 (0.2),41.5%,-1.6,79,18.7,116,18.8,119
Kansas State,6-7,4.3 (-1.7),40.0%,-2.0,80,27.6,75,30.9,16
Middle Tennessee,7-6,7.3 (0.3),40.0%,-2.0,81,30.1,54,30.9,110
Arkansas State,9-4,8.8 (-0.2),39.7%,-2.1,82,28.6,65,31.9,19
Missouri,5-7,4.4 (-0.6),39.5%,-2.2,83,15.8,123,17.6,73
Akron,8-5,7.8 (-0.2),36.8%,-3.0,84,21.7,109,24.2,80
South Carolina,3-9,4.6 (1.6),36.4%,-3.1,85,28.2,69,32.4,27
Purdue,2-10,3.4 (1.4),36.1%,-3.2,86,27.9,71,29.5,124
Colorado State,7-6,7.2 (0.2),35.6%,-3.4,87,28.3,66,31.9,60
Wake Forest,3-9,3.3 (0.3),34.0%,-3.9,88,22.4,105,25.7,87
Connecticut,6-7,5.7 (-0.3),32.6%,-4.3,89,19.0,115,23.2,70
Kentucky,5-7,5.0 (0.0),30.8%,-4.9,90,23.6,103,29.2,48
San Jose State,6-7,6.3 (0.3),30.2%,-5.1,91,27.2,77,31.5,93
Troy,4-8,5.3 (1.3),27.9%,-5.9,92,24.8,93,29.9,91
Georgia State,6-7,7.3 (1.3),25.6%,-6.7,93,26.9,80,32.5,105
Florida Atlantic,3-9,5.0 (2.0),24.3%,-7.2,94,22.1,108,29.8,51
Nevada,7-6,6.1 (-0.9),23.9%,-7.4,95,24.8,92,33.6,8
Buffalo,5-7,5.1 (0.1),22.6%,-7.9,96,25.2,88,31.6,122
Colorado,4-9,4.3 (0.3),21.3%,-8.4,97,24.5,95,31.8,107
Tulsa,6-7,4.8 (-1.2),20.7%,-8.6,98,32.8,40,40.1,117
South Alabama,5-7,3.9 (-1.1),17.7%,-9.9,99,24.3,98,34.7,53
Oregon State,2-10,2.2 (0.2),17.3%,-10.1,100,24.5,94,34.4,72
Massachusetts,3-9,4.0 (1.0),16.9%,-10.3,101,23.9,102,33.0,106
Fresno State,3-9,4.3 (1.3),16.1%,-10.7,102,21.2,110,31.4,78
SMU,2-10,2.6 (0.6),15.8%,-10.8,103,28.7,63,39.2,74
New Mexico,7-6,5.1 (-1.9),15.1%,-11.2,104,24.4,97,35.0,81
Idaho,4-8,3.6 (-0.4),13.6%,-11.9,105,29.6,58,42.2,42
Rutgers,4-8,3.9 (-0.1),13.2%,-12.2,106,26.0,84,37.3,94
UNLV,3-9,3.1 (0.1),12.9%,-12.3,107,25.1,90,37.3,71
Ball State,3-9,3.0 (0.0),11.4%,-13.2,108,24.2,99,37.4,62
Kent State,3-9,3.6 (0.6),10.2%,-14.0,109,8.3,128,21.0,109
Florida International,5-7,4.7 (-0.3),9.9%,-14.2,110,20.5,112,34.0,89
Old Dominion,5-7,4.0 (-1.0),9.2%,-14.6,111,22.4,106,35.6,118
UL-Lafayette,4-8,4.1 (0.1),9.0%,-14.8,112,22.3,107,36.5,82
Hawaii,3-10,3.8 (0.8),8.9%,-14.8,113,17.5,119,33.8,7
Wyoming,2-10,2.0 (0.0),8.6%,-15.0,114,23.4,104,37.1,116
Miami-OH,3-9,3.5 (0.5),8.2%,-15.4,115,17.2,120,31.2,115
UTSA,3-9,4.4 (1.4),7.5%,-15.9,116,20.0,114,34.5,120
Texas State,3-9,3.8 (0.8),6.7%,-16.7,117,27.1,78,42.8,98
Rice,5-7,4.9 (-0.1),5.5%,-17.8,118,23.9,101,40.9,97
Eastern Michigan,1-11,2.1 (1.1),5.4%,-17.9,119,25.0,91,42.9,65
Tulane,3-9,3.8 (0.8),5.4%,-17.9,120,17.0,121,33.9,101
New Mexico State,3-9,3.8 (0.8),5.0%,-18.3,121,25.8,85,42.6,123
Army,2-10,3.6 (1.6),3.8%,-19.9,122,18.7,117,38.0,84
Central Florida,0-12,1.1 (1.1),3.7%,-20.0,123,14.4,126,35.8,10
UTEP,5-7,3.6 (-1.4),3.6%,-20.2,124,18.0,118,38.9,39
UL-Monroe,2-11,2.9 (0.9),3.1%,-20.9,125,15.3,124,34.6,127
Kansas,0-12,0.7 (0.7),3.0%,-21.1,126,20.3,113,39.9,126
Charlotte,2-10,1.1 (-0.9),2.7%,-21.6,127,12.1,127,32.1,128
North Texas,1-11,0.8 (-0.2),1.6%,-24.1,128,16.1,122,39.3,96
