Team,Record,2ndO wins (diff),S&P+ (pctl),S&P+ (margin),Overall rank,Off S&P+,Off rank,Def S&P+,Def rank
Alabama,14-1,13.1 (-0.9),98.9%,27.8,1,36.6,24,9.0,61
Clemson,14-1,13.1 (-0.9),98.6%,26.8,2,42.2,6,16.0,50
Oklahoma,11-2,10.4 (-0.6),96.2%,21.8,3,41.9,7,21.3,20
Ohio State,12-1,12.1 (0.1),96.1%,21.7,4,38.0,20,16.7,56
Michigan,10-3,10.6 (0.6),95.2%,20.5,5,33.1,38,13.6,30
Ole Miss,10-3,10.9 (0.9),94.9%,20.2,6,41.6,8,21.4,66
Notre Dame,10-3,10.0 (0.0),93.5%,18.7,7,41.2,11,23.3,35
Florida State,10-3,10.9 (0.9),92.7%,18.0,8,35.9,25,19.4,1
Stanford,12-2,11.2 (-0.8),92.0%,17.5,9,41.2,12,25.2,5
Washington,7-6,7.7 (0.7),91.9%,17.4,10,33.5,37,16.6,52
LSU,9-3,8.6 (-0.4),91.7%,17.3,11,39.7,14,22.5,63
Western Kentucky,12-2,11.3 (-0.7),89.9%,15.9,12,42.5,5,28.0,11
Mississippi State,9-4,8.4 (-0.6),89.5%,15.7,13,39.1,16,24.2,34
Michigan State,12-2,9.8 (-2.2),86.7%,14.0,14,34.4,31,19.3,102
Baylor,10-3,10.6 (0.6),86.3%,13.8,15,44.8,2,29.8,112
USC,8-6,7.6 (-0.4),86.0%,13.6,16,38.7,18,25.0,69
Arkansas,8-5,8.6 (0.6),85.7%,13.5,17,43.0,4,28.3,108
TCU,11-2,10.0 (-1.0),85.2%,13.2,18,39.7,13,27.9,6
UCLA,8-5,9.3 (1.3),84.7%,13.0,19,37.7,21,25.7,31
Tennessee,9-4,9.0 (0.0),82.5%,11.9,20,32.0,45,21.1,28
West Virginia,8-5,8.5 (0.5),82.4%,11.9,21,34.1,32,22.9,44
Oregon,9-4,8.8 (-0.2),82.4%,11.9,22,43.0,3,32.3,21
Bowling Green,10-4,10.2 (0.2),82.1%,11.7,23,41.4,9,28.1,125
Auburn,7-6,6.7 (-0.3),80.8%,11.2,24,32.6,42,22.7,17
Navy,11-2,10.8 (-0.2),80.6%,11.1,25,36.7,23,26.3,45
Minnesota,6-7,6.2 (0.2),80.6%,11.1,26,29.7,57,20.1,3
Louisville,8-5,8.2 (0.2),80.1%,10.9,27,31.8,48,21.2,58
North Carolina,11-3,11.0 (0.0),79.7%,10.7,28,38.9,17,29.5,13
Utah,10-3,8.2 (-1.8),79.6%,10.7,29,29.5,60,20.2,9
Florida,10-4,9.2 (-0.8),78.8%,10.4,30,27.7,73,16.5,95
BYU,9-4,8.6 (-0.4),77.6%,9.9,31,32.3,43,23.1,43
California,8-5,7.9 (-0.1),77.3%,9.8,32,41.3,10,31.0,83
Toledo,10-2,9.2 (-0.8),77.3%,9.8,33,32.8,41,21.8,111
Wisconsin,10-3,9.0 (-1.0),76.0%,9.2,34,25.4,87,15.4,90
Penn State,7-6,7.2 (0.2),75.1%,8.9,35,29.0,62,19.7,75
Nebraska,6-7,6.8 (0.8),74.7%,8.8,36,34.9,29,26.6,49
Texas A&amp;M,8-5,7.8 (-0.2),74.0%,8.5,37,29.9,55,22.4,29
Boise State,9-4,9.2 (0.2),73.3%,8.3,38,30.6,53,23.7,15
Oklahoma State,10-3,8.6 (-1.4),73.0%,8.1,39,38.1,19,29.4,85
Appalachian State,11-2,10.5 (-0.5),72.7%,8.1,40,31.6,50,24.7,22
NC State,7-6,7.1 (0.1),72.5%,8.0,41,34.0,35,25.3,88
Iowa,12-2,10.0 (-2.0),70.9%,7.4,42,29.4,61,23.3,14
Georgia Southern,9-4,9.0 (0.0),69.3%,6.9,43,31.8,47,25.7,38
Memphis,9-4,7.6 (-1.4),68.7%,6.7,44,35.2,27,30.0,4
Georgia,10-3,9.5 (-0.5),68.4%,6.6,45,26.4,81,18.7,103
Houston,13-1,10.2 (-2.8),67.5%,6.3,46,34.1,33,28.2,55
Miami-FL,8-5,7.8 (-0.2),67.0%,6.1,47,31.8,49,26.5,37
Pittsburgh,8-5,7.3 (-0.7),66.0%,5.8,48,31.9,46,26.0,67
Arizona State,6-7,6.3 (0.3),65.5%,5.6,49,35.5,26,30.8,33
Texas Tech,7-6,7.0 (0.0),65.4%,5.6,50,45.5,1,41.2,12
Air Force,8-6,8.7 (0.7),64.5%,5.3,51,33.5,36,29.0,36
San Diego State,11-3,10.6 (-0.4),64.0%,5.2,52,27.1,79,21.9,64
Western Michigan,8-5,7.5 (-0.5),64.0%,5.2,53,37.2,22,32.2,59
Louisiana Tech,9-4,9.3 (0.3),63.6%,5.0,54,34.5,30,30.2,40
Temple,10-4,9.2 (-0.8),63.4%,5.0,55,25.5,86,21.7,23
South Florida,8-5,7.9 (-0.1),63.3%,4.9,56,31.5,51,25.9,86
Northwestern,10-3,7.2 (-2.8),62.4%,4.7,57,20.7,111,14.6,121
Indiana,6-7,6.8 (0.8),61.5%,4.4,58,39.5,15,35.5,54
Virginia Tech,7-6,6.7 (-0.3),61.4%,4.3,59,27.7,72,24.4,24
Georgia Tech,3-9,3.2 (0.2),59.6%,3.8,60,29.9,56,26.7,47
Illinois,5-7,4.8 (-0.2),59.3%,3.7,61,24.4,96,19.4,114
Utah State,6-7,6.8 (0.8),58.4%,3.5,62,27.6,76,23.4,92
Cincinnati,7-6,7.1 (0.1),55.6%,2.6,63,34.0,34,32.6,18
Southern Miss,9-5,9.3 (0.3),54.9%,2.4,64,33.0,39,29.4,104
