Team,Record,2ndO wins (diff),S&P+ (pctl),S&P+ (margin),Overall rank,Off S&P+,Off rank,Def S&P+,Def rank
Kentucky,2-10,2.9 (0.9),39.3%,-3.4,84,27.5,77,30.8,123
San Diego State,8-5,7.5 (-0.5),38.8%,-3.5,85,26.7,81,30.3,68
UNLV,7-6,6.7 (-0.3),38.6%,-3.6,86,28.1,70,31.7,36
Purdue,1-11,1.2 (0.2),37.5%,-4.0,87,26.2,87,30.2,116
San Jose State,6-6,4.8 (-1.2),37.4%,-4.0,88,32.1,42,36.1,87
Colorado State,8-6,8.1 (0.1),36.8%,-4.2,89,28.9,63,33.1,61
Hawaii,1-11,3.3 (2.3),35.5%,-4.6,90,26.4,85,31.0,92
Western Kentucky,8-4,7.8 (-0.2),35.4%,-4.7,91,27.6,74,32.3,72
SMU,5-7,4.5 (-0.5),33.8%,-5.2,92,24.7,94,29.9,66
Rutgers,6-7,5.6 (-0.4),32.1%,-5.8,93,24.0,99,29.8,93
Connecticut,3-9,3.9 (0.9),30.7%,-6.3,94,20.5,113,26.8,81
Kent State,4-8,4.3 (0.3),30.5%,-6.4,95,24.6,95,30.9,70
Middle Tennessee,8-5,6.3 (-1.7),30.2%,-6.5,96,24.3,96,30.8,85
Ohio,7-6,6.6 (-0.4),30.0%,-6.5,97,23.1,101,29.7,108
Akron,5-7,4.5 (-0.5),29.8%,-6.6,98,22.1,105,28.7,78
Colorado,3-8,3.1 (0.1),29.5%,-6.7,99,26.0,91,32.8,111
UL-Lafayette,9-4,7.5 (-1.5),28.8%,-7.0,100,27.8,72,34.8,62
California,1-11,0.9 (-0.1),26.3%,-7.9,101,28.5,67,36.4,114
West Virginia,4-8,3.5 (-0.5),25.5%,-8.2,102,22.1,106,30.3,113
South Florida,2-10,1.0 (-1.0),24.6%,-8.5,103,14.9,122,23.4,112
Kansas,3-9,3.0 (0.0),24.0%,-8.8,104,17.8,119,26.6,109
Troy,6-6,5.4 (-0.6),23.8%,-8.9,105,30.2,57,39.0,69
Temple,2-10,4.5 (2.5),23.7%,-8.9,106,27.4,78,36.4,77
UL-Monroe,6-6,4.1 (-1.9),18.7%,-11.1,107,20.9,111,32.0,65
Wyoming,5-7,5.1 (0.1),17.7%,-11.6,108,26.9,80,38.5,103
New Mexico,3-9,3.2 (0.2),14.7%,-13.1,109,31.5,48,44.6,106
Texas State,6-6,6.1 (0.1),11.7%,-14.8,110,18.1,118,33.0,99
Air Force,2-10,3.2 (1.2),11.4%,-15.0,111,28.5,68,43.4,117
